timestamp,score,result
2026-03-10 10:51:01.997158,0.56124014,reject
2026-03-10 11:07:57.259574,0.6478789,accept
2026-03-10 11:23:05.997604,0.63557255,accept
2026-03-10 11:35:17.865408,0.65915596,accept
2026-03-10 15:19:02.950663,0.2446081,reject
2026-04-12 21:39:06.515176,0.6146865,accept
2026-04-12 22:15:18.709356,0.6536435,accept
2026-04-12 22:22:41.142470,0.66064954,accept
2026-04-12 22:35:16.775025,0.37850398,reject
2026-04-12 22:35:25.559940,0.6560399,accept
2026-04-12 22:36:56.906359,0.75536275,accept
2026-04-13 11:47:24.709842,0.6671114,accept
2026-04-13 11:53:09.311945,0.71813023,accept
2026-04-13 12:00:18.498469,0.20530945,reject
2026-04-13 12:00:28.148570,0.6554401,accept
2026-04-13 12:08:04.932378,0.72965926,accept
2026-04-13 12:34:36.708379,0.73303455,accept
2026-04-13 12:35:22.294056,0.44473547,reject
2026-04-13 12:45:35.807140,0.68137634,accept
2026-04-13 14:58:32.086580,0.6858185,accept
2026-04-14 13:30:56.904621,0.5174241,reject
2026-04-14 13:31:21.751757,0.58782876,reject
2026-04-14 13:31:31.284297,0.55275655,reject
2026-04-14 13:31:41.388967,0.35350746,reject
2026-04-14 13:31:58.305378,0.32578206,reject
2026-04-14 13:32:07.424502,0.4555986,reject
2026-04-14 13:35:04.088220,0.3983559,reject
2026-04-14 13:36:01.223100,0.5789394,reject
2026-04-14 13:36:13.054919,0.5189105,reject
2026-04-14 17:23:24.042059,0.7063335,reject
2026-04-14 17:26:41.866140,0.7348943,reject
2026-04-14 17:28:12.086253,0.737103,reject
2026-04-14 17:28:23.231028,0.8078748,accept
2026-04-14 17:37:44.441669,0.7708747,reject
